rank,node_id,brnpdb_id,common_name,hiv_activity_score
130,41142,1747,Myrcene,0.0
131,41211,7314,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7S,7aR,7bR)-",0.0
132,41143,1750,γ-Terpinene,0.0
133,41144,1752,α-Terpinolene,0.0
134,41208,7246,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2Z)-",0.0
135,41207,7233,Stigmast-5-en-3-ol,0.0
136,41145,1755,α-Pinene,0.0
137,41205,7187,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-β-D-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",0.0
138,41146,1828,Benzyl benzoate,0.0
139,41203,7099,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aS)-",0.0
140,41147,1902,a-terpinene,0.0
141,41128,10052,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-",0.0
142,41199,6760,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate",0.0
143,41198,6715,D-Galacturonic acid,0.0
144,41197,6695,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-9-hydroxy-5-methyl-, (1R,5R,8S,9R)-",0.0
145,41196,6665,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, methyl ester, [1S-(1α,4aβ,5β,6β,8aα)]-",0.0
146,41195,6662,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-, (2E)-",0.0
147,41273,9971,D-Xylose,0.0
