index,brnpdb_id,common_name,smiles
68,3892,Kaempferide,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
69,6760,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate",C(C)(=O)OC1C2(CCC(C1)C2(C)C)C
70,8833,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2R,4R)-rel-",CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C
71,9574,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2S,4R)-rel-",C(C)(=O)O[C@@H]1[C@@]2(CC[C@H](C1)C2(C)C)C
72,6597,"Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, 3-acetate, (1S,3S,5S)-",CC(C)[C@@]12C[C@@H]1C(=C)[C@H](C2)OC(=O)C
73,8237,"2(5H)-Oxepinone, 7-[6-(acetyloxy)-1-hydroxy-4-hexen-1-yl]-6,7-dihydro-7-methyl-3-(4-methyl-3-penten-1-yl)-",C(C)(=O)OCC=CCCC(O)C1(CCC=C(C(O1)=O)CCC=C(C)C)C
74,9647,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1R,4R,6R,10S)-",CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
75,9283,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1S,4R,6R,10R)-",CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
76,5613,"4H-1-Benzopyran-4-one, 5,6,7-trihydroxy-3-methoxy-2-(4-methoxyphenyl)-",COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)OC
77,1915,tricyclene,CC1(C2CC3C1(C3C2)C)C
78,9596,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-rel-",CC1([C@H]2C3=C(CC[C@@H]3[C@@H](CC[C@H]21)C)C)C
79,6585,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-",CC1CCC2C(C2(C)C)C3=C(CCC13)C
